Account No.,Client Name,Status, Amount ,CR/DR,
503334567,DIGITECH SOLUTIONS INDIA,LLP," 28,750.00 ",DR,
503345678,SUNPACK INDUSTRIES,PRIVATE LIMITED," 6,28,999.00 ",CR,
503356789,IMPERIAL IMPEX SERVICES,PARTNERSHIP, -   ,CR,
503367890,ALTRON ENGINEERING INDIA,PRIVATE LIMITED," 1,79,450.00 ",CR,
503378901,SHREE HARI MEDICAL SUPPLY,PROPRIETOR," 86,500.00 ",DR,
503389012,POWERGRID SYSTEMS,LLP," 9,15,000.00 ",CR,
503390123,INNOVISTA TECH PARK,PRIVATE LIMITED," 6,780.00 ",CR,
503401234,STONEMAX GRANITES,PARTNERSHIP," 4,45,600.00 ",CR,
503412345,GREENFIELD DAIRY PRODUCTS,PRIVATE LIMITED," 7,95,450.25 ",CR,
503423456,RAJDHANI ELECTRICALS,PROPRIETOR," 5,200.00 ",CR,
503434567,VECTOR MACHINE TOOLS,LLP," 10,75,600.00 ",CR,
503445678,UNITY MAINTENANCE SERVICES,PARTNERSHIP," 8,540.00 ",DR,
503456789,ZENITH RETAIL STORES,PRIVATE LIMITED," 12,42,300.00 ",CR,
503467890,SWEETLAND FOOD INDUSTRIES,PROPRIETOR," 4,450.75 ",CR,
503478901,OM TRANS LOGISTICS,PARTNERSHIP," 6,90,876.00 ",CR,
503489012,SKYNET DIGITAL HUB,LLP," 2,25,000.00 ",DR,
503490123,GREENWOOD TIMBER TRADERS,PRIVATE LIMITED, -   ,CR,
503501234,WESTEND PROPERTY DEVELOPERS,PARTNERSHIP," 5,10,340.00 ",CR,
503512345,BRIGHTFUTURE ACADEMY,PRIVATE LIMITED," 3,300.00 ",CR,
503523456,GOLDEN MILK FOODS,PROPRIETOR," 8,85,210.90 ",CR,
503534567,SPEEDTRACK EXPRESS,LLP," 19,750.00 ",DR,
503545678,URBAN MEDIA PRINTS,PRIVATE LIMITED," 7,18,999.00 ",CR,
503556789,HERITAGE SILVER EXPORTS,PARTNERSHIP, -   ,CR,
503567890,BIOLIFE HEALTHCARE,PRIVATE LIMITED," 2,29,450.00 ",CR,
503578901,SHREE KRISHNA WHOLESALE,PROPRIETOR," 1,16,500.00 ",DR,
503589012,SOLARIS POWERTECH,LLP," 11,75,000.00 ",CR,
503590123,GLOBALBRIDGE CONSULTING,PRIVATE LIMITED," 9,780.00 ",CR,
503601234,ZENFAB ENGINEERING,PARTNERSHIP," 6,25,600.00 ",CR,
503612345,AURORA FLEX PACK,PRIVATE LIMITED," 4,45,890.25 ",CR,
503623456,NAVDURGA TRADERS,PROPRIETOR," 6,200.00 ",CR,
503634567,TITAN BUILD STRUCTURES,LLP," 17,75,600.00 ",CR,
503645678,PRIMESECURE SERVICES,PARTNERSHIP," 4,540.00 ",DR,
503656789,SUNGLOW PAPER INDUSTRIES,PRIVATE LIMITED," 13,12,300.00 ",CR,
503667890,VISIONPLUS MEDIA,PROPRIETOR," 3,450.75 ",CR,
503678901,NORTHWIND SHIPPING,PARTNERSHIP," 8,90,876.00 ",CR,
503689012,TECHFLOW INNOVATIONS,LLP," 5,75,000.00 ",DR,
503690123,RIVERSTONE AGRO MILLS,PRIVATE LIMITED, -   ,CR,
503701234,ARISTO INTERIORS,PARTNERSHIP," 6,10,340.00 ",CR,
503712345,SILVERLINE POLYMERS,PRIVATE LIMITED," 8,45,920.00 ",CR,
503723456,MAHAVEER FOOD SUPPLIERS,PROPRIETOR, -   ,CR,
503734567,EASTERN CONSTRUCTIONS,PARTNERSHIP," 15,25,300.75 ",CR,
503745678,QUICKSHIFT TRANSPORT,LLP," 14,540.00 ",DR,
503756789,MEDIQUICK PHARMA,PRIVATE LIMITED," 9,12,800.00 ",CR,
503767890,SPICY DELIGHT FOODS,PROPRIETOR," 5,450.50 ",CR,
503778901,TRANSWORLD FREIGHT,PARTNERSHIP," 4,75,650.00 ",CR,
503789012,CLOUDCORE CONSULTANTS,LLP," 3,75,000.00 ",DR,
503790123,TRIMAX STEELS,PRIVATE LIMITED, -   ,CR,
503801234,ORBIT TEXTILE EXPORTS,PARTNERSHIP," 7,80,340.00 ",CR,
503812345,HILLTOP REAL ESTATE,PRIVATE LIMITED," 5,300.00 ",CR,
503823456,FRESHLAND AGRO INDUSTRIES,PROPRIETOR," 6,95,110.90 ",CR,
503834567,DIGITALEDGE SOLUTIONS,LLP," 21,750.00 ",DR,
503845678,SUNRISE PACKAGING,PRIVATE LIMITED," 5,28,999.00 ",CR,
503856789,IMPERIAL TRADE LINKS,PARTNERSHIP, -   ,CR,
503867890,ALTITUDE ENGINEERS,PRIVATE LIMITED," 3,79,450.00 ",CR,
503878901,SHREE SAI MEDICALS,PROPRIETOR," 76,500.00 ",DR,
503889012,POWERLINE ELECTRICALS,LLP," 8,15,000.00 ",CR,
503890123,INNOTECH SOFTWARE PARK,PRIVATE LIMITED," 5,780.00 ",CR,
503901234,STONEAGE GRANITE WORKS,PARTNERSHIP," 3,95,600.00 ",CR,
503912345,GREENDALE DAIRY INDUSTRIES,PRIVATE LIMITED," 6,95,450.25 ",CR,
503923456,RAJPUTANA ELECTRONICS,PROPRIETOR," 7,200.00 ",CR,
503934567,VECTOR HEAVY MACHINERY,LLP," 12,75,600.00 ",CR,
503945678,UNITY CLEANING SERVICES,PARTNERSHIP," 6,540.00 ",DR,
503956789,ZENMART RETAIL INDIA,PRIVATE LIMITED," 16,42,300.00 ",CR,
503967890,SWEETHEART CONFECTIONERS,PROPRIETOR," 8,450.75 ",CR,
503978901,OM FAST FREIGHT,PARTNERSHIP," 5,90,876.00 ",CR,
503989012,SKYLINK IT PARK,LLP," 4,25,000.00 ",DR,
503990123,GREENFIELD TIMBER INDUSTRIES,PRIVATE LIMITED, -   ,CR,
504001234,WESTPOINT DEVELOPERS,PARTNERSHIP," 7,10,340.00 ",CR,
504012345,SILVERCREST INDUSTRIES,PRIVATE LIMITED," 9,45,210.00 ",CR,
504023456,MAHALAXMI TRADING CO,PROPRIETOR, -   ,CR,
504034567,EASTERN HEIGHTS INFRA,PARTNERSHIP," 11,75,450.80 ",CR,
504045678,QUICKLINK SUPPLY CHAIN,LLP," 9,540.00 ",DR,
504056789,MEDIWELL PHARMA CARE,PRIVATE LIMITED," 6,82,300.00 ",CR,
504067890,SPICEJET FOODS,PROPRIETOR," 4,850.25 ",CR,
504078901,TRANSINDIA CARRIERS,PARTNERSHIP," 7,95,640.00 ",CR,
504089012,CLOUDWAY CONSULTANTS,LLP," 3,55,000.00 ",DR,
504090123,TRISTAR STEEL FABRICATION,PRIVATE LIMITED, -   ,CR,
504101234,ORANGE BLOSSOM TEXTILES,PARTNERSHIP," 8,10,240.00 ",CR,
504112345,HORIZON URBAN DEVELOPERS,PRIVATE LIMITED," 12,500.00 ",CR,
504123456,FRESHBITE AGRO PRODUCTS,PROPRIETOR," 3,15,980.90 ",CR,
504134567,DIGITALWAVE SYSTEMS,LLP," 18,750.00 ",DR,
504145678,SUNTECH PACKAGING,PRIVATE LIMITED," 5,28,450.00 ",CR,
504156789,IMPERIAL OVERSEAS TRADERS,PARTNERSHIP, -   ,CR,
504167890,ALPHATECH ENGINEERS,PRIVATE LIMITED," 2,29,450.00 ",CR,
504178901,SHREE GANESH MEDICALS,PROPRIETOR," 66,500.00 ",DR,
504189012,POWERHOUSE ELECTRONICS,LLP," 14,15,000.00 ",CR,
504190123,INNOTECH BUSINESS PARK,PRIVATE LIMITED," 8,780.00 ",CR,
504201234,STONEWORLD GRANITES,PARTNERSHIP," 6,25,600.00 ",CR,
504212345,GREENMEADOW DAIRY,PRIVATE LIMITED," 4,75,450.25 ",CR,
504223456,RAJ ENTERPRISES,PROPRIETOR," 2,200.00 ",CR,
504234567,VECTOR PRECISION TOOLS,LLP," 9,75,600.00 ",CR,
504245678,UNITY HOUSEKEEPING SERVICES,PARTNERSHIP," 7,540.00 ",DR,
504256789,ZENITH RETAIL MART,PRIVATE LIMITED," 17,12,300.00 ",CR,
504267890,SWEETWORLD BAKERS,PROPRIETOR," 5,650.75 ",CR,
504278901,OM SAI FREIGHT MOVERS,PARTNERSHIP," 6,80,876.00 ",CR,
504289012,SKYHIGH SOFTWARE HUB,LLP," 4,75,000.00 ",DR,
504290123,GREENFIELD PLYWOOD INDUSTRIES,PRIVATE LIMITED, -   ,CR,
504301234,WESTCOAST BUILDERS,PARTNERSHIP," 9,10,340.00 ",CR,
504312345,BRILLIANT MINDS ACADEMY,PRIVATE LIMITED," 3,800.00 ",CR,
504323456,GOLDEN HARVEST DAIRY,PROPRIETOR," 7,25,210.90 ",CR,
504334567,SPEEDLINE COURIER NETWORK,LLP," 23,750.00 ",DR,
504345678,URBANEDGE PRINT MEDIA,PRIVATE LIMITED," 6,48,999.00 ",CR,
504356789,HERITAGE SILK EXPORTS,PARTNERSHIP, -   ,CR,
504367890,BIOCARE HEALTH SOLUTIONS,PRIVATE LIMITED," 3,49,450.00 ",CR,
504378901,SHREE RAM DISTRIBUTORS,PROPRIETOR," 1,06,500.00 ",DR,
504389012,SOLARMAX POWER SYSTEMS,LLP," 13,25,000.00 ",CR,
504390123,GLOBALCORE CONSULTING,PRIVATE LIMITED," 9,980.00 ",CR,
504401234,ZENPRO ENGINEERING WORKS,PARTNERSHIP," 7,55,600.00 ",CR,
504412345,AURORA PLASTIC PACK,PRIVATE LIMITED," 5,95,890.25 ",CR,
504423456,NAVJEEVAN TRADERS,PROPRIETOR," 4,200.00 ",CR,
504434567,TITAN INFRA STRUCTURES,LLP," 18,75,600.00 ",CR,
504445678,PRIMEWATCH SECURITY SERVICES,PARTNERSHIP," 6,540.00 ",DR,
504456789,SUNGLOW PAPER MILLS,PRIVATE LIMITED," 11,82,300.00 ",CR,
504467890,VISIONARY MEDIA SOLUTIONS,PROPRIETOR," 7,450.75 ",CR,
504478901,NORTHSTAR GLOBAL SHIPPING,PARTNERSHIP," 5,90,876.00 ",CR,
504489012,TECHVERSE INNOVATIONS,LLP," 3,75,000.00 ",DR,
504490123,RIVERGOLD AGRO PRODUCTS,PRIVATE LIMITED, -   ,CR,
504501234,ARCADIA HOME INTERIORS,PARTNERSHIP," 6,40,340.00 ",CR,
504512345,SILVEROAK POLYMERS,PRIVATE LIMITED," 8,95,920.00 ",CR,
504523456,MAHAVEER GROCERY SUPPLIERS,PROPRIETOR, -   ,CR,
504534567,EASTERN SKYLINE DEVELOPERS,PARTNERSHIP," 13,25,300.75 ",CR,
504545678,QUICKSHIFT TRANSPORTERS,LLP," 12,540.00 ",DR,
504556789,MEDICURE PHARMA INDIA,PRIVATE LIMITED," 9,12,800.00 ",CR,
504567890,SPICY KING FOODS,PROPRIETOR," 6,450.50 ",CR,
504578901,TRANSWORLD SHIPPING,PARTNERSHIP," 4,25,650.00 ",CR,
504589012,CLOUDMAX CONSULTING,LLP," 2,75,000.00 ",DR,
504590123,TRIMAX INDUSTRIAL STEELS,PRIVATE LIMITED, -   ,CR,
504601234,ORBIT FASHION EXPORTS,PARTNERSHIP," 5,80,340.00 ",CR,
504612345,HILLVIEW REALTY,PRIVATE LIMITED," 5,300.00 ",CR,
504623456,FRESHFIELD AGRO INDUSTRIES,PROPRIETOR," 6,25,110.90 ",CR,
504634567,DIGITECH INFRA SOLUTIONS,LLP," 21,750.00 ",DR,
504645678,SUNRISE FLEX PACKAGING,PRIVATE LIMITED," 4,28,999.00 ",CR,
504656789,IMPERIAL GLOBAL TRADE,PARTNERSHIP, -   ,CR,
504667890,ALTITUDE TECH ENGINEERS,PRIVATE LIMITED," 2,79,450.00 ",CR,
504678901,SHREE SAI WHOLESALE MART,PROPRIETOR," 76,500.00 ",DR,
504689012,POWERTRON ELECTRICALS,LLP," 7,15,000.00 ",CR,
504690123,INNOVISION SOFTWARE PARK,PRIVATE LIMITED," 5,780.00 ",CR,
504701234,STONECREST GRANITES,PARTNERSHIP," 3,25,600.00 ",CR,
504712345,GREENDALE MILK PRODUCTS,PRIVATE LIMITED," 6,15,450.25 ",CR,
504723456,RAJPUT ENTERPRISES,PROPRIETOR," 7,200.00 ",CR,
504734567,VECTOR HEAVY EQUIPMENTS,LLP," 10,75,600.00 ",CR,
504745678,UNITY FACILITY SOLUTIONS,PARTNERSHIP," 5,540.00 ",DR,
504756789,ZENMART INDIA RETAIL,PRIVATE LIMITED," 15,42,300.00 ",CR,
504767890,SWEETHEART FOODS,PROPRIETOR," 8,450.75 ",CR,
504778901,OM FASTLINE LOGISTICS,PARTNERSHIP," 4,90,876.00 ",CR,
504789012,SKYNET IT SOLUTIONS,LLP," 3,25,000.00 ",DR,
504790123,GREENWORLD TIMBER INDUSTRIES,PRIVATE LIMITED, -   ,CR,
504801234,WESTPOINT PROPERTY DEVELOPERS,PARTNERSHIP," 8,10,340.00 ",CR,
504812345,SILVERSTONE EXPORTS,PRIVATE LIMITED," 7,45,210.00 ",CR,
504823456,MAHAVIR PROVISION STORES,PROPRIETOR, -   ,CR,
504834567,EASTERN INFRA VENTURES,PARTNERSHIP," 12,85,340.75 ",CR,
504845678,QUICKMOVE SUPPLY CHAIN,LLP," 8,540.00 ",DR,
504856789,MEDITECH PHARMA CARE,PRIVATE LIMITED," 6,72,300.00 ",CR,
504867890,SPICEBAY TRADERS,PROPRIETOR," 5,850.25 ",CR,
504878901,TRANSASIA LOGISTICS,PARTNERSHIP," 9,25,640.00 ",CR,
504889012,CLOUDPOINT CONSULTING,LLP," 4,15,000.00 ",DR,
504890123,TRIDENT METAL WORKS,PRIVATE LIMITED, -   ,CR,
504901234,ORCHID FABRICS INDIA,PARTNERSHIP," 5,40,340.00 ",CR,
504912345,HORIZON LAND DEVELOPERS,PRIVATE LIMITED," 14,500.00 ",CR,
504923456,FRESHMART AGRO FOODS,PROPRIETOR," 3,95,980.90 ",CR,
504934567,DIGITAL EDGE TECHNOLOGIES,LLP," 26,750.00 ",DR,
504945678,SUNSHINE PACK INDUSTRIES,PRIVATE LIMITED," 4,78,999.00 ",CR,
504956789,IMPERIAL GLOBAL EXPORTS,PARTNERSHIP, -   ,CR,
504967890,ALPHATEC INDUSTRIES,PRIVATE LIMITED," 3,19,450.00 ",CR,
504978901,SHREE BALAJI MEDICAL SUPPLY,PROPRIETOR," 56,500.00 ",DR,
504989012,POWERTECH ELECTRONICS,LLP," 11,25,000.00 ",CR,
504990123,INNOTECH CORPORATE PARK,PRIVATE LIMITED," 7,780.00 ",CR,
505001234,STONELINE GRANITES,PARTNERSHIP," 6,85,600.00 ",CR,
505012345,GREENFARM DAIRY INDUSTRIES,PRIVATE LIMITED," 5,75,450.25 ",CR,
505023456,RAJDHANI TRADERS,PROPRIETOR," 3,200.00 ",CR,
505034567,VECTOR INDUSTRIAL TOOLS,LLP," 10,15,600.00 ",CR,
505045678,UNITY CLEANING SOLUTIONS,PARTNERSHIP," 9,540.00 ",DR,
505056789,ZENITH MEGA RETAIL,PRIVATE LIMITED," 16,12,300.00 ",CR,
505067890,SWEETCRUST BAKERS,PROPRIETOR," 6,450.75 ",CR,
505078901,OM SAI TRANSPORT SERVICES,PARTNERSHIP," 5,60,876.00 ",CR,
505089012,SKYLINE SOFTWARE HUB,LLP," 2,85,000.00 ",DR,
505090123,GREENPLY INDUSTRIES,PRIVATE LIMITED, -   ,CR,
505101234,WESTERN MEADOW BUILDERS,PARTNERSHIP," 9,90,340.00 ",CR,
505112345,BRILLIANT FUTURE INSTITUTE,PRIVATE LIMITED," 4,800.00 ",CR,
505123456,GOLDEN MILK DAIRY,PROPRIETOR," 8,15,210.90 ",CR,
505134567,SPEEDLINK EXPRESS NETWORK,LLP," 24,750.00 ",DR,
505145678,URBAN MEDIA SOLUTIONS,PRIVATE LIMITED," 7,88,999.00 ",CR,
505156789,HERITAGE SILK INDUSTRIES,PARTNERSHIP, -   ,CR,
505167890,BIOGEN HEALTHCARE,PRIVATE LIMITED," 2,89,450.00 ",CR,
505178901,SHREE RAM DISTRIBUTION,PROPRIETOR," 1,26,500.00 ",DR,
505189012,SOLARTECH ENERGY SYSTEMS,LLP," 12,25,000.00 ",CR,
505190123,GLOBAL EDGE CONSULTING,PRIVATE LIMITED," 9,480.00 ",CR,
505201234,ZENITH ENGINEERING SOLUTIONS,PARTNERSHIP," 7,95,600.00 ",CR,
505212345,AURORA FLEXIBLE PACKAGING,PRIVATE LIMITED," 6,25,890.25 ",CR,
505223456,NAVKAR WHOLESALE TRADERS,PROPRIETOR," 5,200.00 ",CR,
505234567,TITAN INFRA PROJECTS,LLP," 19,75,600.00 ",CR,
505245678,PRIME SECURITY FORCE,PARTNERSHIP," 6,540.00 ",DR,
505256789,SUNPAPER INDUSTRIES,PRIVATE LIMITED," 10,82,300.00 ",CR,
505267890,VISION MEDIA ENTERPRISES,PROPRIETOR," 8,450.75 ",CR,
505278901,NORTHSTAR SHIPPING LINES,PARTNERSHIP," 6,90,876.00 ",CR,
505289012,TECHNOVA SOLUTIONS,LLP," 3,95,000.00 ",DR,
505290123,RIVERDALE AGRO PRODUCTS,PRIVATE LIMITED, -   ,CR,
505301234,ARCADIA INTERIOR SOLUTIONS,PARTNERSHIP," 7,10,340.00 ",CR,
505312345,SILVER PEAK POLYMERS,PRIVATE LIMITED," 9,45,920.00 ",CR,
505323456,MAHAVEER GENERAL STORES,PROPRIETOR, -   ,CR,
505334567,EASTERN SKY DEVELOPERS,PARTNERSHIP," 15,75,300.75 ",CR,
505345678,QUICKSHIFT FREIGHT,LLP," 13,540.00 ",DR,
505356789,MEDICARE LIFE SCIENCES,PRIVATE LIMITED," 8,12,800.00 ",CR,
505367890,SPICY WORLD FOODS,PROPRIETOR," 7,450.50 ",CR,
505378901,TRANSWORLD GLOBAL SHIPPING,PARTNERSHIP," 5,25,650.00 ",CR,
505389012,CLOUDCORE TECHNOLOGIES,LLP," 4,25,000.00 ",DR,
505390123,TRIMAX METAL INDUSTRIES,PRIVATE LIMITED, -   ,CR,
505401234,ORBITAL FASHION EXPORTS,PARTNERSHIP," 6,80,340.00 ",CR,
505412345,HILLTOP REALTY DEVELOPERS,PRIVATE LIMITED," 5,300.00 ",CR,
505423456,FRESHFIELD ORGANICS,PROPRIETOR," 6,95,110.90 ",CR,
505434567,DIGITRON INFRA SOLUTIONS,LLP," 22,750.00 ",DR,
505445678,SUNRISE PACK SOLUTIONS,PRIVATE LIMITED," 5,28,999.00 ",CR,
505456789,IMPERIAL TRADE CORPORATION,PARTNERSHIP, -   ,CR,
505467890,ALTITUDE INDUSTRIAL ENGINEERS,PRIVATE LIMITED," 3,29,450.00 ",CR,
500112345,AARAV INDUSTRIES,PRIVATE LIMITED," 2,45,890.50 ",CR,
500223456,MEHTA AGRO FOODS,PROPRIETOR, -   ,CR,
500334567,SHIVNERI INFRA DEVELOPERS,PARTNERSHIP," 18,75,600.00 ",CR,
500445678,KRISHNA ALLOYS,PROPRIETOR," 6,540.75 ",DR,
500556789,VARDHAN EXPORT HOUSE,PRIVATE LIMITED," 9,87,000.00 ",CR,
500667890,NEXA RETAIL SOLUTIONS,LLP," 3,450.00 ",CR,
500778901,RIDDHI SIDHI ENTERPRISES,PARTNERSHIP," 12,90,876.25 ",CR,
500889012,BLUELOTUS CONSULTING,LLP," 1,25,000.00 ",DR,
500990123,TRIVENI LOGISTICS,PRIVATE LIMITED, -   ,CR,
501101234,SAMPURNA TEXTILES,PRIVATE LIMITED," 5,60,340.00 ",CR,
501212345,ARYAV GLOBAL TRADERS,PROPRIETOR," 2,300.00 ",CR,
501323456,PRAGATI METALS & MINERALS,PARTNERSHIP," 7,45,210.90 ",CR,
501434567,ZENITH BIOTECH LABS,PRIVATE LIMITED," 15,750.00 ",DR,
501545678,GREENFIELD ORGANICS,PROPRIETOR," 4,88,999.99 ",CR,
501656789,URBANEDGE REALTY PROJECTS,LLP, -   ,CR,
501767890,SILVERLINE TECH SERVICES,PRIVATE LIMITED," 89,450.35 ",CR,
501878901,OMKAR PHARMA DISTRIBUTORS,PARTNERSHIP," 2,76,500.00 ",DR,
501989012,SKYHIGH AVIATION SUPPORT,PRIVATE LIMITED," 13,45,000.00 ",CR,
502090123,NOVASTAR ENERGY SOLUTIONS,LLP," 6,780.00 ",CR,
502101234,HORIZON PAPER MILLS,PARTNERSHIP," 3,25,600.00 ",CR,
502212345,APEX METAL WORKS,PRIVATE LIMITED," 4,75,890.00 ",CR,
502223456,SUNSHINE AGRO EXPORTS,PROPRIETOR, -   ,CR,
502234567,GREENVALLEY PROJECTS,PARTNERSHIP," 12,45,600.50 ",CR,
502245678,ORBITAL TECHNOLOGIES,LLP," 8,540.00 ",DR,
502256789,MATRIX PHARMA SOLUTIONS,PRIVATE LIMITED," 9,12,300.00 ",CR,
502267890,SILKROUTE APPARELS,PROPRIETOR," 2,450.75 ",CR,
502278901,ROYAL INDIA LOGISTICS,PARTNERSHIP," 6,90,876.00 ",CR,
502289012,VERTEX CONSULTANTS,LLP," 3,25,000.00 ",DR,
502290123,MAGNUS STEEL INDUSTRIES,PRIVATE LIMITED, -   ,CR,
502301234,BLUEWAVE MARINE EXPORTS,PARTNERSHIP," 5,10,340.00 ",CR,
502312345,TRIDENT INFRA BUILDERS,PRIVATE LIMITED," 7,300.00 ",CR,
502323456,HIMALAYA FOOD PROCESSORS,PROPRIETOR," 2,45,210.90 ",CR,
502334567,NOVA ELECTRIC SYSTEMS,LLP," 19,750.00 ",DR,
502345678,PRIMEPACK CARTONS,PRIVATE LIMITED," 4,18,999.00 ",CR,
502356789,EASTERN SPICE TRADERS,PARTNERSHIP, -   ,CR,
502367890,URBANCREST DEVELOPERS,PRIVATE LIMITED," 1,89,450.00 ",CR,
502378901,SHAKTI CHEMICAL SUPPLIERS,PROPRIETOR," 76,500.00 ",DR,
502389012,ASTRAL ENERGY VENTURES,LLP," 11,45,000.00 ",CR,
502390123,INNOVEX DIGITAL SOLUTIONS,PRIVATE LIMITED," 9,780.00 ",CR,
502401234,GOLDLINE JEWELS,PARTNERSHIP," 6,25,600.00 ",CR,
502412345,OCEANIC FROZEN FOODS,PRIVATE LIMITED," 3,45,890.25 ",CR,
502423456,KAVYA ENTERPRISES,PROPRIETOR," 1,200.00 ",CR,
502434567,STERLING AUTO COMPONENTS,LLP," 8,75,600.00 ",CR,
502445678,RADIANT CABLE NETWORK,PARTNERSHIP," 5,540.00 ",DR,
502456789,MEGASTAR RETAIL HUB,PRIVATE LIMITED," 14,12,300.00 ",CR,
502467890,CLASSIC HANDLOOMS,PROPRIETOR," 9,450.75 ",CR,
502478901,OM SAI TRANSPORT CO,PARTNERSHIP," 4,90,876.00 ",CR,
502489012,SKYNET IT SERVICES,LLP," 2,25,000.00 ",DR,
502490123,EVERGREEN TIMBERS,PRIVATE LIMITED, -   ,CR,
502501234,SILVER OAK REALTORS,PARTNERSHIP," 7,10,340.00 ",CR,
502512345,BRIGHTSTAR EDUCATION SERVICES,PRIVATE LIMITED," 12,300.00 ",CR,
502523456,ALPINE DAIRY PRODUCTS,PROPRIETOR," 5,45,210.90 ",CR,
502534567,RAPIDEX COURIER NETWORK,LLP," 29,750.00 ",DR,
502545678,METROPRINT SOLUTIONS,PRIVATE LIMITED," 8,18,999.00 ",CR,
502556789,HERITAGE CRAFT EXPORTS,PARTNERSHIP, -   ,CR,
502567890,FUSION BIOTECH INDUSTRIES,PRIVATE LIMITED," 2,89,450.00 ",CR,
502578901,SHREE BALAJI DISTRIBUTORS,PROPRIETOR," 1,26,500.00 ",DR,
502589012,ORBIT POWER SYSTEMS,LLP," 15,45,000.00 ",CR,
502590123,GLOBALEDGE CONSULTING,PRIVATE LIMITED," 4,780.00 ",CR,
502601234,ZENCORE ENGINEERING WORKS,PARTNERSHIP," 9,25,600.00 ",CR,
502612345,AURORA PACKAGING INDUSTRIES,PRIVATE LIMITED," 6,45,890.25 ",CR,
502623456,NAVRATNA TRADING CO,PROPRIETOR," 2,200.00 ",CR,
502634567,TITAN STRUCTURES INDIA,LLP," 18,75,600.00 ",CR,
502645678,PINNACLE SECURITY SERVICES,PARTNERSHIP," 3,540.00 ",DR,
502656789,SUNRISE PAPER PRODUCTS,PRIVATE LIMITED," 11,12,300.00 ",CR,
502667890,VISIONARY MEDIA HOUSE,PROPRIETOR," 5,450.75 ",CR,
502678901,NORTHSTAR SHIPPING,PARTNERSHIP," 9,90,876.00 ",CR,
502689012,TECHSPHERE INNOVATIONS,LLP," 4,25,000.00 ",DR,
502690123,RIVERDALE AGRO MILLS,PRIVATE LIMITED, -   ,CR,
502701234,ARISTO FURNITURE MART,PARTNERSHIP," 8,10,340.00 ",CR,
502712345,SILVERPEAK MINERALS,PRIVATE LIMITED," 7,85,920.00 ",CR,
502723456,MARUTI COLD STORAGE,PROPRIETOR, -   ,CR,
502734567,GALAXY INFRA VENTURES,PARTNERSHIP," 16,45,300.75 ",CR,
502745678,QUICKMOVE LOGISTICS,LLP," 12,540.00 ",DR,
502756789,ELITE PHARMA CARE,PRIVATE LIMITED," 5,12,800.00 ",CR,
502767890,ROYAL SPICES TRADING,PROPRIETOR," 8,450.50 ",CR,
502778901,METROLINE TRANSPORTS,PARTNERSHIP," 9,75,650.00 ",CR,
502789012,SKYBRIDGE CONSULTING,LLP," 2,75,000.00 ",DR,
502790123,TRISHUL METAL INDUSTRIES,PRIVATE LIMITED, -   ,CR,
502801234,OMEGA TEXTILE MILLS,PARTNERSHIP," 6,80,340.00 ",CR,
502812345,CRESTVIEW REALTORS,PRIVATE LIMITED," 21,300.00 ",CR,
502823456,FRESHROOT VEGETABLES,PROPRIETOR," 4,25,110.90 ",CR,
502834567,HYPERION DIGITAL LABS,LLP," 35,750.00 ",DR,
502845678,SUNGLOW PAPER INDUSTRIES,PRIVATE LIMITED," 3,98,999.00 ",CR,
502856789,KESAR IMPEX SOLUTIONS,PARTNERSHIP, -   ,CR,
502867890,ALPHACORE ENGINEERING,PRIVATE LIMITED," 2,49,450.00 ",CR,
502878901,SHANTI MEDICAL AGENCIES,PROPRIETOR," 96,500.00 ",DR,
502889012,EVEREST POWER CONTROLS,LLP," 10,15,000.00 ",CR,
502890123,INFINITY TECH PARKS,PRIVATE LIMITED," 14,780.00 ",CR,
502901234,SAPPHIRE GRANITES,PARTNERSHIP," 5,55,600.00 ",CR,
502912345,HARMONY DAIRY FARMS,PRIVATE LIMITED," 8,95,450.25 ",CR,
502923456,RUDRA ELECTRICALS,PROPRIETOR," 3,200.00 ",CR,
502934567,VECTOR INDUSTRIAL SUPPLIES,LLP," 11,75,600.00 ",CR,
502945678,UNITY FACILITY MANAGEMENT,PARTNERSHIP," 6,540.00 ",DR,
502956789,ZODIAC RETAIL CHAINS,PRIVATE LIMITED," 18,42,300.00 ",CR,
502967890,CLASSIC SWEETS MANUFACTURING,PROPRIETOR," 6,450.75 ",CR,
502978901,OMKAR FREIGHT CARRIERS,PARTNERSHIP," 7,90,876.00 ",CR,
502989012,CLOUDNINE IT HUB,LLP," 1,25,000.00 ",DR,
502990123,GREENLAND TIMBER MART,PRIVATE LIMITED, -   ,CR,
503001234,WESTERN HILLS DEVELOPERS,PARTNERSHIP," 4,10,340.00 ",CR,
503012345,BRILLIANT EDUCATION HUB,PRIVATE LIMITED," 9,300.00 ",CR,
503023456,GOLDSTAR MILK PRODUCTS,PROPRIETOR," 6,85,210.90 ",CR,
503034567,FASTTRACK COURIER SERVICES,LLP," 22,750.00 ",DR,
503045678,URBANPRINT MEDIA WORKS,PRIVATE LIMITED," 9,28,999.00 ",CR,
503056789,HERITAGE SILK MILLS,PARTNERSHIP, -   ,CR,
503067890,BIOSHIELD HEALTHCARE,PRIVATE LIMITED," 3,19,450.00 ",CR,
503078901,SHREE RAM WHOLESALE,PROPRIETOR," 1,46,500.00 ",DR,
503089012,ORBITAL SOLAR SYSTEMS,LLP," 12,75,000.00 ",CR,
